"transaction_amount","aux_mdr_fee","mdr_fee","gateway_fee","transaction_id","payment_method","installments_range","financial_operation_type","created_at","date","day_of_week","company_id","company_mcc","company_type","product_name","acquirer_name"
6396,223,223,105.0,b9cfb76e60,credit_card,a vista,capture,15:00:09,2020-09-09,3.0,ea08e18846a1402,"4816",inbound,psp,pagarme
6396,223,223,105.0,b9cfb76e60,credit_card,a vista,capture,15:00:09,2020-09-09,3.0,ea08e18846a1402,"4816",inbound,psp,acquirer_3
16242,453,453,80.0,bac1ca21c5,credit_card,a vista,capture,14:58:23,2020-09-09,3.0,"57b6b4b341112b5","5199",self_register,psp,pagarme
16242,453,453,80.0,bac1ca21c5,credit_card,a vista,capture,14:58:23,2020-09-09,3.0,"57b6b4b341112b5","5199",self_register,psp,acquirer_3
67400,328,328,85.0,bbe13c364b,credit_card,"2-6",capture,14:56:08,2020-09-09,3.0,"6a612e4ad6d8ef3","5651",inbound,psp,pagarme
67400,328,328,85.0,bbe13c364b,credit_card,"2-6",capture,14:56:09,2020-09-09,3.0,"6a612e4ad6d8ef3","5651",inbound,psp,acquirer_3
10050,250,250,74.0,bbe7d38bff,credit_card,a vista,capture,14:57:14,2020-09-09,3.0,d0658f776439ba7,"5441",inbound,psp,acquirer_3
10050,250,250,74.0,bbe7d38bff,credit_card,a vista,capture,14:57:14,2020-09-09,3.0,d0658f776439ba7,"5441",inbound,psp,pagarme
73778,268,268,0.0,bbeca79583,credit_card,"2-6",capture,14:59:08,2020-09-09,3.0,da83a78d27ace3c,"8220",outbound,psp,acquirer_3
73778,268,268,0.0,bbeca79583,credit_card,"2-6",capture,14:59:08,2020-09-09,3.0,da83a78d27ace3c,"8220",outbound,psp,pagarme
11000,182,182,0.0,bd78372330,debit_card,a vista,capture,12:29:36,2020-09-09,3.0,"707f3fa3d265b9e","7372",outbound,psp,pagarme
11000,182,182,0.0,bd78372330,debit_card,a vista,capture,12:29:37,2020-09-09,3.0,"707f3fa3d265b9e","7372",outbound,psp,acquirer_3
690,18,18,12.0,be2db935a9,credit_card,a vista,capture,14:57:15,2020-09-09,3.0,dee3b73faaac643,"8999",outbound,psp,pagarme
690,18,18,12.0,be2db935a9,credit_card,a vista,capture,14:57:15,2020-09-09,3.0,dee3b73faaac643,"8999",outbound,psp,acquirer_3
19238,691,691,50.0,bff2b9e29b,credit_card,a vista,capture,14:55:55,2020-09-09,3.0,ddbdca7880b9a05,"5411",outbound,psp,acquirer_3
19238,691,691,50.0,bff2b9e29b,credit_card,a vista,capture,14:55:55,2020-09-09,3.0,ddbdca7880b9a05,"5411",outbound,psp,pagarme
123,0,0,-0.0,bff6dcd7c0,credit_card,a vista,refund,14:52:41,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,gateway,pagarme
123,0,0,-0.0,bff6dcd7c0,credit_card,a vista,refund,14:52:41,2020-09-09,3.0,d19e7f6bea6d0f3,"8299",outbound,gateway,acquirer_3
19960,266,266,60.0,c0a5e8bbea,credit_card,"2-6",capture,14:56:23,2020-09-09,3.0,"42f2452e3b08e0f","5944",inbound,psp,acquirer_3
19960,266,266,60.0,c0a5e8bbea,credit_card,"2-6",capture,14:56:23,2020-09-09,3.0,"42f2452e3b08e0f","5944",inbound,psp,pagarme
5739,184,184,60.0,c0af8ea565,credit_card,a vista,capture,14:58:42,2020-09-09,3.0,"77a7e0010b6f61f","5999",inbound,psp,acquirer_3
5739,184,184,60.0,c0af8ea565,credit_card,a vista,capture,14:58:40,2020-09-09,3.0,"77a7e0010b6f61f","5999",inbound,psp,pagarme
